id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
51857604,262.0,2.7425,1,0.1624,0.6077,0.3406,2.4889,383.6329,1
51889202,,5.4333,0,0.0683,0.4393,0.391,2.6084,446.6997,1
51910355,210.0,0.9521,1,0.3421,0.6678,0.9236,0.3703,842.8006,0
51916356,66.0,9.9868,0,0.025,0.2746,0.888,3.0361,611.3177,0
51925927,173.0,10.3554,0,0.0702,0.0,0.1149,8.8961,86.1152,0
51934462,57.0,7.6663,0,0.0412,0.3574,0.2397,3.0797,322.2279,0
51956253,,2.8923,1,0.1681,0.6543,0.3325,2.0939,314.0505,0
51961917,194.0,7.0065,0,0.1118,0.8948,0.5791,5.1323,329.1328,0
51965160,150.0,10.3731,0,0.023,0.2613,0.847,3.4345,209.5233,0
51974015,264.0,2.7425,1,0.1624,0.6077,0.3406,2.4889,383.6329,1
51981482,106.0,2.2485,0,0.2193,0.7124,0.7245,0.5449,253.4784,0
52042542,438.0,3.8768,0,0.1431,0.6978,0.284,2.6777,314.0505,1
52053036,405.0,4.1237,0,0.1342,0.6876,0.2561,3.0505,314.0505,0
52074213,23.0,4.8151,0,0.1052,0.612,0.1987,4.2014,397.3531,0
52112335,237.0,9.2332,0,0.0293,0.2999,0.9309,2.2377,611.3177,0
52114521,107.0,4.77,0,0.0924,0.533,0.2188,4.7353,188.3615,1
52116387,135.0,5.2099,0,0.1268,0.7873,0.3188,3.4152,159.7822,0
52143861,30.0,7.6298,0,0.087,0.0,0.1512,6.2383,217.7129,0
52145383,231.0,6.7805,0,0.1082,0.8419,0.2791,4.9359,160.9753,0
52153928,72.0,4.3619,0,0.1418,0.0,0.3572,2.6072,365.3628,0
52153996,,8.3313,0,0.1013,0.0,0.5764,6.466,402.4574,0
52175841,72.0,7.6058,0,0.1076,0.9259,0.8276,5.7639,329.1328,0
52178410,196.0,0.5999,1,0.4071,0.0,0.8264,0.843,842.8006,0
52187274,,2.3559,0,0.2128,0.7142,0.6787,0.6544,253.4784,0
52189452,250.0,5.0383,0,0.1169,0.0,0.2173,3.8131,314.0505,0
52222847,230.0,6.26,0,0.0559,0.0,0.5708,1.1293,390.6212,0
52226578,215.0,6.6737,0,0.1014,0.7779,0.1956,5.0799,226.8979,0
52239805,313.0,1.3908,1,0.265,0.6337,0.6199,1.3012,1063.742,4
52242765,75.0,2.7758,1,0.1584,0.5982,0.3425,2.6332,383.6329,1
52244562,,2.7103,1,0.1764,0.6545,0.3536,1.9203,314.0505,0
52246034,79.0,10.1975,0,0.0667,0.7468,0.108,8.915,137.4903,0
52260989,79.0,9.4623,0,0.0951,0.9954,0.7551,7.6248,402.4574,0
52261847,209.0,7.161,0,0.1068,0.0,0.325,5.279,160.9753,0
52264184,135.0,7.737,0,0.0398,0.3479,0.3175,2.0061,397.8142,0
52282954,69.0,5.6126,0,0.1277,0.8446,0.6578,3.7362,358.0325,0
52308229,147.0,8.6166,0,0.0958,0.0,0.2893,6.7304,180.9846,0
52313572,213.0,1.4931,1,0.2635,0.6568,0.6174,0.8518,842.8006,1
52335832,83.0,9.0661,0,0.0977,0.9833,0.945,7.2397,402.4574,0
52350546,42.0,5.0015,0,0.099,0.5941,0.1915,4.4832,397.3531,1
52352119,41.0,9.0235,0,0.0316,0.0,0.1737,4.6123,306.2093,0
