id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,geometry,index_right,official_neighbourhood,dist_loop_center_miles,dist_navy_pier_miles,dist_ohare_airport_miles,dist_fulton_market_miles,dist_museum_campus_miles,dist_mccormick_place_miles,min_dist_rail_miles,avg_dist_top3_rail_miles,is_rail_accessible,dist_to_shoreline_miles,dist_to_nearest_beach_miles
1401598794403056952,Sunny & Stylish 2BR,565944158,Alma,,Albany Park,41.96309,-87.70988,Entire home/apt,100.0,2,13,2025-09-08,2.6,13,74,13,R25000132358,POINT (1153810.8181015367 1929756.734314778),7,Albany Park,10.006711461056097,10.343949466347773,10.877339055402484,8.455009566156448,11.789198717746087,12.528325432430949,1.292656184692428,1.6684637430390168,0,3.3326330725153164,5.5236513602353305
1401607145708288455,Stylish 3BR in Trendy Avondale,233135984,Maria Jesusa,,Avondale,41.93431,-87.71828,Entire home/apt,110.0,2,27,2025-09-07,5.91,21,63,27,R23000098892,POINT (1151601.5166173456 1919252.7102321305),48,Avondale,8.435741271954523,8.772979277246199,12.448309244504058,6.884039377054873,10.218228528644515,10.957355243329374,0.8198955107170193,1.2579832106041708,0,4.25226729426594,5.022659080459691
1401607465309448250,3BR | Complete & Well-Located,688546499,Teresa,,Hyde Park,41.79838,-87.59151,Entire home/apt,138.0,2,20,2025-09-16,4.26,13,157,20,R25000129629,POINT (1186522.9320718637 1869992.9557542722),1,Hyde Park,7.507662124328878,7.170424119037202,28.39171264078746,9.059364019228529,5.725174867638888,4.986048152954027,0.2659930368290168,0.49022218772860665,1,0.5869391921774946,0.810169338566952
1401634636790279591,Sunny Studio in Heart of Ravenswood,688897008,Rida,,Lake View,41.96156,-87.66867,Entire home/apt,95.0,2,16,2025-09-14,3.87,19,145,16,R24000117322,POINT (1165023.0933579593 1929283.4416839594),25,Lake View,7.793535724836207,8.130773730127883,13.090514791622374,6.241833829936557,9.576022981526197,10.315149696211058,0.5436451419762353,2.2930886306465244,0,1.304853926610106,3.952169860940565
1401636418697027701,1BR Unit w/ 2 Comfy Beds,688546499,Teresa,,Lake View,41.93979,-87.66865,Entire home/apt,100.0,2,28,2025-09-20,5.83,13,75,28,R22000084686,POINT (1165090.0573859168 1921350.4233009329),25,Lake View,6.278387540937701,6.615625546229377,14.60566297552088,4.726685646038051,8.060874797627692,8.800001512312553,1.562082972333332,2.2552255573852458,0,1.6819268805713243,2.8594016283512844
1401659447154514003,Chicago Chic: 2 BR - 1 BA & Garage,56124401,Lily,,West Town,41.889346448787805,-87.68868060280549,Entire home/apt,168.0,32,1,2025-08-03,0.58,2,358,1,,POINT (1159778.4808463391 1902927.1280480018),11,West Town,3.7951074815904686,4.526518611227308,17.088943034868112,2.2434055866908182,5.5775947382804585,6.31672145296532,0.025176891785793267,1.0470315138836745,1,3.4779864771391984,3.55541011447287
1401666895859293668,Roscoe Retreat · Cozy 2BR in Chicago,688897008,Rida,,Avondale,41.94164,-87.72645,Entire home/apt,98.0,2,19,2025-09-07,3.96,19,166,19,R23000105096,POINT (1149359.601074884 1921907.9355479288),48,Avondale,9.363230070867399,9.700468076159074,11.520820445591182,7.811528175967749,11.145717327557389,11.88484404224225,0.831977449691296,0.9474865060279609,0,4.532061559239751,5.5762742493668265
1401672086977065748,2BR Apt Beautifully Furnished,688546499,Teresa,,Lake View,41.95041,-87.65811,Entire home/apt,123.0,2,39,2025-09-15,8.8,13,154,39,R25000131449,POINT (1167927.1981912397 1925242.7952351822),25,Lake View,6.478241921416184,6.81547992670786,14.405808595042396,4.926540026516534,8.260729178106175,8.999855892791036,1.4858403960195015,2.535987918617287,0,0.9719198182544244,3.0097442524647864
1401690240736088401,Chic 2BR Haven Near Irving Park,688897008,Rida,,Irving Park,41.95945,-87.72946,Entire home/apt,82.0,2,14,2025-09-13,3.0,19,165,14,R23000109211,POINT (1148494.9649097759 1928392.167233707),46,Irving Park,10.755061103232208,11.092299108523884,10.128989413226373,9.203359208332557,12.537548359922198,13.27667507460706,0.4422578380766841,0.7458580566747797,1,4.372003797078315,6.229574733900636
1401699868909249085,Cozy Stay in Chicago/2 Br/Up to 5 Ppl/32+ Day Stay,690626350,Taha,,Rogers Park,42.00248330859674,-87.67286516726017,Entire home/apt,105.0,32,2,2025-08-11,0.65,3,364,2,,POINT (1163767.1082677317 1944187.2884306272),3,Rogers Park,10.854109936369412,11.191347941661087,14.087081539537625,9.30240804146976,12.636597193059401,13.375723907744263,0.513193351918322,1.6814517085922946,0,0.803181036168487,6.546521891128695
1401710774746645745,Cozy 1BR in Walkable Area,688897008,Rida,,Lincoln Square,41.96594,-87.69045,Entire home/apt,89.0,2,16,2025-08-24,3.48,19,162,16,R20000054504,POINT (1159087.4331159543 1930834.334871407),0,Lincoln Square,9.211443571323418,9.548681576615094,11.672606945135163,7.659741676423767,10.993930828013408,11.733057542698269,0.8384606469561061,1.9802443507042733,0,2.3145232204257105,4.903258130652892
1401767404949906173,Cozy 1BR Apartment in Prime Lakeview Location,421060852,Kim John,,Lake View,41.93923,-87.67059,Entire home/apt,100.0,2,28,2025-09-17,5.6,15,156,28,R24000569275,POINT (1164563.8176666358 1921142.2712120102),25,Lake View,6.3386314103237416,6.675869415615417,14.54541910613484,4.786929515424091,8.121118667013732,8.860245381698594,1.5280927487901015,2.2168281307309745,0,1.788404645117687,2.917271163178578
1401785010285614175,Cozy Studio in Portage Park,421060852,Kim John,,Portage Park,41.96048,-87.75544,Entire home/apt,79.0,2,14,2025-09-17,3.11,15,164,14,R23000110838,POINT (1141426.2164262312 1928718.7777116287),45,Portage Park,12.155697270176615,12.492935275468291,8.728353246281966,10.603995375276964,13.938184526866605,14.677311241551466,0.47802320902240525,0.8276647613265616,1,5.649026504945509,7.45243813631439
1401786231317480328,Ideal & Spacious 1BR Apt,688897008,Rida,,Irving Park,41.9579,-87.73083,Entire home/apt,82.0,2,19,2025-09-08,4.22,19,169,19,R24000121060,POINT (1148126.3141677084 1927824.7191037242),46,Irving Park,10.717410082793725,11.0546480880854,10.166640433664856,9.165708187894074,12.499897339483715,13.239024054168576,0.3269360611981628,0.6457774823912493,1,4.46728746505717,6.239380028518107
