listing_id,price,accommodates,bedrooms,bathrooms,room_type,property_type,review_scores_rating,occupancy_proxy,weekend_occupancy_proxy,summer_occupancy_proxy,winter_occupancy_proxy,total_review_count,recent_review_count,avg_review_length,estimated_annual_revenue,log_revenue,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_clean_Entire home,property_type_clean_Entire rental unit,property_type_clean_Other,property_type_clean_Private room in home,property_type_clean_Private room in rental unit,Amenity_PCA_1,Amenity_PCA_2,Amenity_PCA_3,Amenity_PCA_4,Amenity_PCA_5,Cluster_ID
1432602073933708762,528.0,7,3.0,2.0,Entire home/apt,Entire rental unit,4.5,0.07945205479452055,0.11538461538461539,0.06521739130434782,0.0,2.0,2.0,450.5,15312.000000000002,9.636457419815208,1.0,99.0,136.0,1.0,1.0,West Town,41.88914154,-87.64656105,4.0,2,365,1.0,16,336,2,2,0,0,4.5,5.0,3.5,4.5,5.0,5.0,t,99,0.94,False,False,False,False,True,False,False,False,0.5664954886373836,1.8830397265446752,1.2798751500891246,-1.4729432434561076,0.7079346140438433,1
1432602731251959144,964.0,13,5.0,4.0,Entire home/apt,Entire rental unit,5.0,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,90.0,963.9999999999999,6.872128101338986,1.0,99.0,136.0,1.0,1.0,West Town,41.88914,-87.64656,8.0,3,365,1.0,30,364,1,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,f,99,0.29,False,False,False,False,True,False,False,False,0.1060868674007853,1.948326141141144,1.051073150098743,-1.329652911978898,0.6427675577830414,4
1432689243491483297,115.0,5,2.0,2.0,Entire home/apt,Entire rental unit,5.0,0.6,0.6153846153846154,1.0,0.0,13.0,13.0,240.46153846153845,25185.0,10.134043563565792,1.0,13.0,15.0,1.0,1.0,West Ridge,42.01242610238105,-87.69024560564868,2.0,3,365,1.0,7,146,13,13,3,0,5.0,5.0,5.0,5.0,5.0,4.92,f,9,3.61,False,False,False,False,True,False,False,False,-0.6338302683969226,-0.7845319018720223,0.9869165069908444,-0.1959128349467644,0.7926941601908756,1
1432804305493586476,99.0,2,0.0,1.0,Entire home/apt,Entire rental unit,4.63,0.0273972602739726,0.038461538461538464,0.0,0.0,8.0,8.0,126.375,989.9999999999999,6.898714534329988,1.0,6.0,6.0,1.0,1.0,Uptown,41.95852416238297,-87.65637524778425,1.0,2,28,1.0,21,355,8,8,2,0,4.63,4.75,4.38,4.88,4.63,4.38,f,6,2.24,False,False,False,False,True,False,False,False,1.5496757163257695,-0.7712581006378254,0.2339555399228957,0.5912028539392031,-0.5793971887361891,1
1433510363260068070,154.0,6,2.0,2.0,Entire home/apt,Entire rental unit,4.96,0.16986301369863013,0.17307692307692307,0.043478260869565216,0.08888888888888889,23.0,23.0,239.30434782608697,9548.0,9.164191715950203,0.0,1.0,1.0,1.0,1.0,Grand Boulevard,41.818205238330506,-87.60961249418318,3.0,2,28,1.0,6,303,23,23,6,0,4.96,5.0,4.96,4.91,4.87,4.96,t,1,6.27,False,False,False,False,True,False,False,False,0.952078607462119,-0.7778318439059424,0.0659421399990971,0.0649894646132166,0.8259190532779789,1
1433530740056628834,90.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.73,0.5260273972602739,0.5480769230769231,1.0,0.0,22.0,22.0,220.5909090909091,17280.0,9.757362911053992,1.0,11.0,14.0,1.0,1.0,Lincoln Square,41.96673,-87.68514,1.0,2,30,1.0,23,173,22,22,7,0,4.77,4.86,4.5,4.82,4.82,4.45,f,8,6.73,False,False,False,False,True,False,False,False,-0.2273773058785009,1.2646253299818508,0.5897922131203115,0.4177689904181365,0.4047241680652649,1
1433549627353680456,290.0,10,3.0,2.0,Entire home/apt,Entire rental unit,4.63,0.07123287671232877,0.08653846153846154,0.05434782608695652,0.022222222222222223,8.0,8.0,182.25,7540.0,8.928110078202646,0.0,17.0,18.0,1.0,1.0,West Town,41.9096394,-87.6788777,5.0,2,365,1.0,15,339,8,8,2,0,4.38,4.5,5.0,5.0,5.0,4.63,f,1,3.24,False,False,False,False,True,False,False,False,1.270591866853788,0.8332401496712469,1.7901742199586606,0.4890425424422169,0.1558686381641645,1
1433559258830968447,90.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.83,0.6027397260273972,0.6057692307692307,1.0,0.0,6.0,6.0,258.6666666666667,19800.0,9.893487720457795,1.0,11.0,14.0,1.0,1.0,Lincoln Square,41.96557,-87.68633,1.0,2,30,1.0,8,145,6,6,3,0,4.83,4.83,4.67,4.83,5.0,4.5,f,8,3.46,False,False,False,False,True,False,False,False,0.2583991577084097,1.0973032724186074,0.798636668630931,0.4748380151369341,0.2399632956477015,1
1433693256391410369,201.0,6,3.0,1.0,Entire home/apt,Entire rental unit,5.0,0.03561643835616438,0.0673076923076923,0.0,0.0,1.0,1.0,391.0,2613.0,7.868636894184167,0.0,1.0,1.0,1.0,1.0,New City,41.808890257857854,-87.64358650892973,3.0,1,365,1.0,20,352,1,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1.0,False,False,False,False,True,False,False,False,1.6781441305488791,-0.7365187714239974,-0.4144356503196043,0.4213491266880552,-0.3145065078080951,1
1434339863931967279,179.0,2,0.0,1.0,Entire home/apt,Entire rental unit,5.0,0.3506849315068493,0.375,0.7934782608695652,0.0,6.0,6.0,142.5,22912.0,10.039459714059342,1.0,4.0,7.0,1.0,1.0,Lincoln Park,41.92839,-87.64016,1.0,32,365,1.0,28,237,6,6,2,0,4.83,4.83,5.0,5.0,5.0,4.67,f,4,3.16,False,False,False,False,True,False,False,False,-0.7301277421438468,-1.21675676126224,-0.5265029002396078,-0.2050538812912864,-0.3134456950910334,1
1434722825431721050,104.0,2,1.0,1.0,Entire home/apt,Entire rental unit,,0.13424657534246576,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,5096.0,8.536407410340042,0.0,4.0,6.0,0.0,0.0,Uptown,41.966009616579726,-87.65844753576589,1.0,32,365,1.0,0,316,0,0,0,0,4.89,4.87,4.93,4.95,4.87,4.78,t,4,1.59,False,False,False,False,True,False,False,False,-0.7340480755777286,1.2461205835658724,1.0456797876975632,0.1629698983407608,0.8013389522690518,0
1434761179182102632,146.0,4,2.0,2.0,Entire home/apt,Entire rental unit,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53290.0,10.883522740361526,0.0,4.0,6.0,0.0,0.0,Logan Square,41.92523072124375,-87.70285070340968,2.0,32,365,1.0,0,0,0,0,0,0,4.89,4.87,4.93,4.95,4.87,4.78,t,4,1.59,False,False,False,False,True,False,False,False,-0.6137261704176886,1.2951436034324386,0.8992289858224889,0.2064340963633756,0.6431884514681463,0
